COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES,FEES_NORMALIZED,FEE_CATEGORY,DESVIACION_FEE
CHINA,M.Sc,M.Sc in Environment,161542.92,0.00018362112395453438,Baja,-19937133.973333333
CHINA,M.Sc,M.Sc in Agriculture,253853.15,0.0003296195034698743,Baja,-19844823.743333336
CHINA,M.Sc,M.Sc in Mathematics,184620.47,0.00022012070697132713,Baja,-19914056.423333336
FRANCE,MBA,MBA in Sales & Marketing,2164886.74,0.0033521209893765023,Media,798421.675
FRANCE,MBA,MBA inBanking,893015.78,0.0013405227178456029,Media,-473449.28500000015
FRANCE,MBA,MBA inBusiness Administration,2836903.66,0.004414986733800385,Alta,1470438.595
FRANCE,MBA,MBA in Hospital/Healthcare Management,856934.33,0.0012834560933711132,Media,-509530.7350000002
FRANCE,MBA,MBA in Human Resource Management,630523.26,0.000925363070264853,Baja,-735941.8050000002
FRANCE,MBA,MBA in Internal Business,2164886.74,0.0033521209893765023,Media,798421.675
FRANCE,MBA,MBA in Supply Chain & Logistics Management,1204218.25,0.0018327222966048715,Media,-162246.81500000018
FRANCE,MBA,MBA in Global Business Management,9200768.64,0.014480111417537186,Alta,7834303.575
FRANCE,MBA,MBA in Entrepreneurship & Leadership Management,1082443.37,0.0016401224607505466,Media,-284021.69500000007
FRANCE,MBA,MBA in Tourism,802812.17,0.0011978561803834633,Baja,-563652.8950000001
FRANCE,MBA,MBA in Business Engineer,1170842.91,0.0017799356709429755,Media,-195622.15500000026
FRANCE,MBA,MBA in Finance,981415.32,0.0014803359280380318,Media,-385049.7450000002
FRANCE,MBA,MBA in Accounting,893015.78,0.0013405227178456029,Media,-473449.28500000015
FRANCE,MBA,MBA in Project Management,1082443.37,0.0016401224607505466,Media,-284021.69500000007
FRANCE,MBA,MBA in Gastronomy,1649824.1,0.002537495017922494,Media,283359.0349999999
FRANCE,MBA,MBA in Information Technology,1469416.87,0.002252161927182159,Media,102951.80499999993
FRANCE,MBA,MBA in Leadership Management,3517940.95,0.005492119146204933,Alta,2151475.885
FRANCE,MBA,MBA in Luxury Management,1249320.06,0.0019040555732439694,Media,-117145.00500000012
FRANCE,MBA,MBA in Wine Marketing & Management,978709.21,0.0014760559292254381,Media,-387755.8550000002
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,631792.0,0.0009273697165924192,Baja,-734673.0650000002
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Management,1791581.6,0.00276169947807979,Media,425116.5349999999
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,2518142.4,0.003910832130217792,Alta,1151677.3349999997
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,1362865.6,0.0020836398386194777,Media,-3599.465000000084
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury and Brand,1252028.57,0.0019083393679100763,Media,-114436.49500000011
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing & E-Business,1916462.5,0.002959211812654378,Media,549997.4349999998
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistic and Supply Chain,1057670.34,0.0016009412970194531,Media,-308794.7250000001
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Corporate Finance,1057670.34,0.0016009412970194531,Media,-308794.7250000001
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,894951.83,0.0013435847854264189,Media,-471513.2350000002
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,1012470.75,0.0015294533709818104,Media,-353994.3150000002
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource ,1645264.98,0.002530284288060636,Media,278799.9149999998
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,1627185.14,0.0025016891113191562,Media,260720.07499999972
FRANCE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Sports And Event Management,1572945.64,0.0024159036127268307,Media,206480.57499999972
FRANCE,M.ENG,M.ENG in ME/M.TECH,786472.82,0.0011720137724257108,Baja,-579992.2450000002
FRANCE,M.ENG,M.ENG in Electtical Engineering,813592.57,0.0012149065217218736,Baja,-552872.4950000002
FRANCE,M.ENG,M.ENG in Architecture,1627185.14,0.0025016891113191562,Media,260720.07499999972
FRANCE,M.ENG,M.ENG in Civil Engineering,451995.87,0.0006430031450528466,Baja,-914469.1950000002
FRANCE,M.ENG,M.ENG in IT Engineering,922794.77,0.0013876213360984608,Media,-443670.29500000016
FRANCE,M.ENG,M.ENG in Computer Engineering,1242988.65,0.0018940417795393362,Media,-123476.41500000027
FRANCE,M.ENG,M.ENG in Aerospace Engineering,271197.52,0.0003570514567183331,Baja,-1095267.5450000002
FRANCE,M.ENG,M.ENG in Agriculture,645319.52,0.0009487649183903278,Baja,-721145.5450000002
FRANCE,M.ENG,M.ENG in Biology,1397251.97,0.0021380255150219188,Media,30786.904999999795
FRANCE,M.ENG,M.ENG in Biomedical,933440.3,0.0014044583662854936,Media,-433024.76500000013
FRANCE,M.ENG,M.ENG in Business Administration,1536041.0,0.002357535026313418,Media,169575.93499999982
FRANCE,M.ENG,M.ENG in Energy Engineering,342655.3,0.0004700694839051754,Baja,-1023809.7650000001
FRANCE,M.ENG,M.ENG in Food Technology,781654.0,0.0011643922995816273,Baja,-584811.0650000002
FRANCE,M.ENG,"M.ENG in 
Industrial",454450.0,0.0006468846108786818,Baja,-912015.0650000002
FRANCE,M.ENG,M.ENG in Materials,342655.3,0.0004700694839051754,Baja,-1023809.7650000001
FRANCE,M.ENG,M.ENG in Nuclear ,1090680.0,0.001653149561134409,Media,-275785.0650000002
FRANCE,M.ENG,M.ENG in Production,1136125.0,0.001725025629009818,Media,-230340.06500000018
FRANCE,M.ENG,"M.ENG in 
Risk Management",1249737.5,0.0019047157986983407,Media,-116727.56500000018
FRANCE,M.ENG,M.ENG in Texttile,2726700.0,0.004240688004649136,Alta,1360234.9349999998
FRANCE,M.ENG,M.ENG in Transportation,899811.0,0.0013512700760576909,Media,-466654.0650000002
FRANCE,M.Sc,M.Sc in Physics,1397251.97,0.0021380255150219188,Media,30786.904999999795
FRANCE,M.Sc,M.Sc in Chemistry,45445.0,0.0,Baja,-1321020.0650000002
FRANCE,M.Sc,M.Sc in Biology,45445.0,0.0,Baja,-1321020.0650000002
FRANCE,M.Sc,M.Sc in Botany,2181360.0,0.003378175190144227,Media,814894.9349999998
FRANCE,M.Sc,M.Sc in Agriculture,3181150.0,0.004959448683403227,Alta,1814684.9349999998
FRANCE,M.Sc,M.Sc in Security Science,772565.0,0.0011500170860065453,Baja,-593900.0650000002
FRANCE,M.Sc,M.Sc in Mathematics,363560.0,0.0005031324751278636,Baja,-1002905.0650000002
FRANCE,M.Sc,M.Sc in Business & Finance,1177025.5,0.0017897140900976862,Media,-189439.56500000018
GERMANY,MBA,MBA in Sales & Marketing ,3678127.31,0.0057454707951008445,Alta,2323512.7263934426
GERMANY,MBA,MBA in Banking,1253594.37,0.0019108158460062214,Media,-101020.21360655734
GERMANY,MBA,MBA in Business Administration,454540.69,0.0006470280466933065,Baja,-900073.8936065575
GERMANY,MBA,MBA in Hospital/Healthcare Management,3246719.22,0.005063153330938878,Alta,1892104.6363934427
GERMANY,MBA,MBA in Human Resource Management,1217519.71,0.0018537599606339623,Media,-137094.8736065575
GERMANY,MBA,MBA in Internal Business,1442986.32,0.002210359220486496,Media,88371.73639344261
GERMANY,MBA,MBA in Supply Chain & Logistics Management,1112181.71,0.001687156786734527,Media,-242432.8736065575
GERMANY,MBA,MBA in General Management,1420439.66,0.002174699296082848,Media,65825.07639344246
GERMANY,MBA,MBA in Global Business Management,1339271.68,0.002046323561903294,Media,-15342.90360655752
GERMANY,MBA,MBA in Entrepreneurship & Leadership Management,1147174.12,0.0017425009794132407,Media,-207440.46360655734
GERMANY,MBA,MBA in Tourism,1217519.71,0.0018537599606339623,Media,-137094.8736065575
GERMANY,MBA,MBA in Business Engineer,1316725.02,0.002010663637499646,Media,-37889.563606557436
GERMANY,MBA,MBA in Finance,1442986.32,0.002210359220486496,Media,88371.73639344261
GERMANY,MBA,MBA in Accounting,1354964.15,0.0020711428608108265,Media,349.56639344245195
GERMANY,MBA,MBA in Project Management,1112181.71,0.001687156786734527,Media,-242432.8736065575
GERMANY,MBA,MBA in E-Sports Management,1354964.15,0.0020711428608108265,Media,349.56639344245195
GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1226769.15,0.0018683889270163922,Media,-127845.43360655755
